3	1	37.44	-25.4
2	2	38.43	-9.08
2	3	41.11	-8.36
2	4	37.23	-5.59
3	5	36.32	-6.18
1	6	36.43	-4.25
2	7	37.13	-3.41
3	8	37.53	-4.46
2	9	38.21	-0.29
3	10	39.28	-0.22
2	11	41.23	2.11
3	12	41.38	-0.53
2	13	40.24	-3.41
3	14	41.39	-4.43
2	15	43.15	-2.58
3	16	43.22	-8.23
2	17	38.54	1.26
3	18	39.34	2.39
1	19	42.3	1.31
2	20	44.5	-0.34
3	21	43.36	1.26
2	22	43.18	5.24
3	23	43.42	7.15
1	24	43.42	7.23
3	25	42.42	9.27
2	26	45.5	1.16
2	27	45.26	4.24
1	28	45.45	4.51
2	29	45.1	5.43
3	30	48.24	-4.29
3	31	48.05	-1.41
3	32	47.13	-1.33
2	33	47.23	0.41
3	34	49.3	0.08
2	35	48.52	2.2
2	36	49.15	4.02
2	37	47.19	5.01
2	38	48.41	6.12
2	39	48.35	7.45
3	40	49.36	6.09
2	41	50.38	5.34
2	42	50.5	4.2
2	43	50.38	3.04
2	44	51.03	3.43
1	45	51.13	4.25
2	46	51.26	5.28
2	47	51.55	4.28
2	48	52.22	4.54
3	49	52.05	5.08
2	50	53.13	6.33
3	51	50.23	-4.1
1	52	50.43	-1.54
2	53	50.5	-0.08
3	54	51.29	-3.13
2	55	51.27	-2.35
3	56	51.3	-0.1
3	57	52.3	-1.5
3	58	53.25	-2.55
1	59	53.3	-2.15
3	60	53.23	-1.3
2	61	53.5	-1.35
3	62	54.59	-1.35
3	63	55.57	-3.13
1	64	55.53	-4.15
2	65	56.28	-3
3	66	57.1	-2.04
3	67	60.09	-1.09
3	68	62.01	-6.46
2	69	51.54	-8.28
3	70	52.4	-8.38
3	71	53.2	-6.15
3	72	54.35	-5.55
3	73	55	-7.19
3	74	64.09	-21.51
1	75	64.11	-51.44
2	76	76.34	-68.47
2	77	70.4	23.42
1	78	68.26	17.25
2	79	65.01	25.28
3	80	61.3	23.45
2	81	60.27	22.17
1	82	60.1	24.58
2	83	63.25	10.25
2	84	60.23	5.2
2	85	58.58	5.45
2	86	59.55	10.45
2	87	57.43	11.58
1	88	55.36	13
1	89	58.25	15.37
3	90	59.2	18.03
2	91	57.38	18.18
2	92	56.09	10.13
2	93	55.24	10.23
3	94	55.4	12.35
2	95	53.04	8.49
1	96	53.33	9.59
2	97	54.2	10.08
3	98	54.05	12.07
2	99	51.57	7.37
2	100	52.24	9.44
2	101	52.07	11.38
3	102	52.31	13.24
2	103	50.47	6.05
2	104	50.44	7.05
2	105	50.56	6.59
2	106	51.12	6.47
2	107	51.17	7.17
2	108	51.28	7.01
3	109	51.28	7.13
1	110	51.32	7.13
2	111	51.31	7.28
2	112	51.19	9.29
2	113	50.58	11.01
3	114	51.29	11.58
1	115	51.19	12.2
2	116	50.5	12.55
3	117	51.03	13.44
2	118	49.14	6.59
3	119	50.07	8.4
2	120	49.25	8.43
2	121	49.48	9.56
2	122	49.27	11.04
1	123	49.03	8.24
2	124	48.46	9.11
1	125	49.01	12.06
2	126	48.08	11.34
2	127	46.12	6.09
3	128	46.31	6.38
2	129	46.57	7.26
2	130	47.33	7.35
2	131	47.23	8.32
2	132	47.16	11.24
3	133	47.48	13.02
3	134	48.18	14.18
2	135	48.13	16.2
3	136	47.05	15.27
2	137	45.03	7.4
2	138	45.28	9.12
3	139	45.27	11
2	140	45.27	12.21
1	141	45.4	13.46
2	142	44.25	8.57
2	143	44.29	11.2
1	144	43.46	11.15
2	145	43.55	12.28
2	146	39.2	9
3	147	41.54	12.29
2	148	40.51	14.17
2	149	41.27	15.34
3	150	41.07	16.52
2	151	40.28	17.15
3	152	38.11	15.33
2	153	37.3	15.06
3	154	38.07	13.21
2	155	35.54	14.31
1	156	53.24	14.32
3	157	54.23	18.4
3	158	53.08	18
1	159	52.25	16.55
1	160	51.46	19.3
3	161	52.15	21
1	162	53.09	23.09
2	163	51.06	17
2	164	50.16	19
3	165	50.03	19.58
2	166	51.15	22.35
2	167	49.45	13.23
3	168	50.05	14.26
3	169	49.5	18.17
3	170	49.12	16.37
1	171	48.09	17.07
2	172	48.43	21.15
1	173	47.3	19.05
2	174	47.32	21.38
3	175	46.05	18.13
1	176	46.15	20.09
2	177	45.45	21.13
3	178	46.47	23.36
2	179	47.1	27.35
1	180	45.48	24.09
3	181	45.39	25.37
1	182	44.26	26.06
1	183	44.11	28.39
3	184	46.03	14.31
2	185	45.2	14.27
2	186	45.48	15.58
2	187	43.31	16.27
3	188	43.52	18.25
3	189	44.5	20.3
1	190	42.38	18.07
2	191	41.59	21.26
1	192	41.2	19.5
3	193	42.41	23.19
2	194	42.09	24.45
2	195	43.13	27.55
3	196	42.3	27.28
2	197	39.36	19.56
3	198	40.38	22.56
3	199	38.15	21.44
1	200	37.58	23.43
2	201	35.2	25.09
1	202	35.1	33.22
